Frames,Timestamp,gne_ratio,pid,qid
962,5.338246458768844,0.0,40,13
963,5.342557247097675,0.0,40,13
964,5.346868035426507,0.0,40,13
965,5.351178823755338,0.0,40,13
966,5.355489612084169,0.0,40,13
967,5.3598004004129995,0.0,40,13
968,5.3641111887418305,0.0,40,13
969,5.368421977070661,0.3980897861445035,40,13
970,5.372732765399492,0.466267786564545,40,13
971,5.377043553728323,0.5571695630981203,40,13
972,5.381354342057154,0.6349394686087502,40,13
973,5.385665130385986,0.674319111590782,40,13
974,5.389975918714817,0.6674171492661057,40,13
975,5.394286707043648,0.6152444033868607,40,13
976,5.398597495372479,0.5387411219456676,40,13
977,5.40290828370131,0.47308963565688095,40,13
978,5.4072190720301405,0.4391324334059277,40,13
979,5.411529860358971,0.4523589674460255,40,13
980,5.415840648687802,0.5461464689811569,40,13
981,5.420151437016633,0.6744725804586222,40,13
982,5.424462225345464,0.0,40,13
983,5.428773013674296,0.0,40,13
984,5.433083802003127,0.0,40,13
985,5.437394590331958,0.0,40,13
986,5.441705378660789,0.0,40,13
987,5.44601616698962,0.0,40,13
988,5.450326955318451,0.0,40,13
989,5.4546377436472815,0.0,40,13
990,5.458948531976112,0.0,40,13
991,5.463259320304943,0.0,40,13
992,5.467570108633775,0.0,40,13
993,5.471880896962606,0.0,40,13
994,5.476191685291437,0.0,40,13
995,5.480502473620268,0.0,40,13
996,5.484813261949099,0.0,40,13
997,5.48912405027793,0.0,40,13
998,5.493434838606761,0.0,40,13
999,5.4977456269355915,0.0,40,13
1000,5.5020564152644225,0.0,40,13
1001,5.506367203593254,0.0,40,13
1002,5.510677991922085,0.0,40,13
1003,5.514988780250916,0.0,40,13
1004,5.519299568579747,0.0,40,13
1005,5.523610356908578,0.0,40,13
1006,5.527921145237409,0.0,40,13
1007,5.53223193356624,0.0,40,13
1008,5.536542721895071,0.0,40,13
1009,5.540853510223902,0.0,40,13
1010,5.5451642985527325,0.0,40,13
1011,5.549475086881564,0.0,40,13
1012,5.553785875210395,0.0,40,13
1013,5.558096663539226,0.0,40,13
1014,5.562407451868057,0.0,40,13
1015,5.566718240196888,0.0,40,13
1016,5.571029028525719,0.0,40,13
1017,5.57533981685455,0.0,40,13
1018,5.579650605183381,0.0,40,13
1019,5.583961393512212,0.0,40,13
1020,5.5882721818410435,0.4243588206305342,40,13
1021,5.592582970169874,0.4752476201900536,40,13
1022,5.596893758498705,0.553738908200619,40,13
