Frames,Timestamp,F1_score,F2_score,F_diff,pid,qid
461,5.825268885479915,420.261787293344,1633.0468452169011,1212.7850579235571,40,13
462,5.835320947950731,420.2989969246364,1629.742345694757,1209.4433487701206,40,13
463,5.8453730104215476,412.37804950270134,1562.893429976747,1150.5153804740457,40,13
464,5.8554250728923645,474.2681365332386,1541.017824358681,1066.7496878254424,40,13
465,5.865477135363181,538.5407167446357,1535.894570603401,997.3538538587653,40,13
466,5.875529197833998,575.4615672151496,1540.4780799167236,965.016512701574,40,13
467,5.885581260304814,579.2244209143018,1544.7981366867552,965.5737157724534,40,13
468,5.895633322775631,560.6497441523381,1554.3842147849136,993.7344706325755,40,13
469,5.905685385246448,494.17547065546614,1556.0993845268542,1061.923913871388,40,13
470,5.915737447717265,431.85543455921726,1550.7895678239847,1118.9341332647675,40,13
471,5.925789510188081,410.44003994703405,1548.3997880412423,1137.9597480942084,40,13
472,5.935841572658898,364.4839601755433,1512.462697069918,1147.9787368943748,40,13
473,5.945893635129715,326.81889864244306,1483.2948885772196,1156.4759899347764,40,13
474,5.955945697600532,308.6091405518892,1500.4829365476685,1191.8737959957793,40,13
475,5.965997760071348,258.42671404832555,1574.5442518656273,1316.1175378173018,40,13
476,5.976049822542165,219.95828352507107,1679.6824928686815,1459.7242093436105,40,13
477,5.986101885012982,202.1953574408124,1715.1398800303725,1512.9445225895602,40,13
478,5.996153947483799,870.0211021720714,2293.0646216781665,1423.043519506095,40,13
479,6.0062060099546155,1751.6105373345388,2902.0023164282957,1150.391779093757,40,13
480,6.0162580724254315,1736.8007923955724,3272.8906044025457,1536.0898120069733,40,13
481,6.0263101348962484,1752.5422070629197,3490.5971658046315,1738.0549587417117,40,13
482,6.036362197367065,1724.012877883362,2930.786509431626,1206.7736315482641,40,13
483,6.046414259837882,1713.3643112841278,2618.5758878738657,905.2115765897379,40,13
484,6.056466322308698,1673.0103739521037,2802.1956176915533,1129.1852437394496,40,13
485,6.066518384779515,1680.5844051718293,2801.240175324189,1120.6557701523595,40,13
486,6.076570447250332,1672.6560804835094,3237.9628078673272,1565.3067273838178,40,13
487,6.086622509721149,1662.244771587434,3106.7675765318954,1444.5228049444615,40,13
488,6.096674572191965,1666.7307493181552,2999.8566966561843,1333.1259473380292,40,13
489,6.106726634662782,1650.322274635208,3162.0806164763703,1511.7583418411623,40,13
490,6.116778697133599,1671.5594194762266,3215.7281643264123,1544.1687448501857,40,13
491,6.126830759604416,1412.613595608173,1686.2697291079724,273.65613349979935,40,13
492,6.136882822075233,1554.886308031801,2859.074538073771,1304.1882300419697,40,13
493,6.146934884546049,1566.6382884667223,2384.8502498605335,818.2119613938112,40,13
494,6.156986947016866,1396.7034736044054,1577.0287703927477,180.32529678834226,40,13
495,6.167039009487683,1515.3877855578196,1696.9156938508618,181.52790829304217,40,13
496,6.1770910719584995,1127.7217757628946,2578.8437646552243,1451.1219888923297,40,13
497,6.1871431344293155,251.3647169349431,1250.936372047042,999.5716551120988,40,13
498,6.197195196900132,293.0735894212554,1145.4380567030387,852.3644672817833,40,13
499,6.207247259370949,307.60641711690397,1058.351278186267,750.7448610693632,40,13
500,6.217299321841766,312.5374119030343,1050.387706756174,737.8502948531398,40,13
501,6.227351384312583,319.8395134481913,1071.5787533669188,751.7392399187274,40,13
502,6.237403446783399,326.2521382834952,1180.2555219693265,854.0033836858313,40,13
503,6.247455509254216,335.620807312006,1266.7116021048591,931.0907947928531,40,13
504,6.257507571725033,346.6276527607697,1468.3085070965842,1121.6808543358145,40,13
505,6.26755963419585,382.9964540568101,1570.4177785313595,1187.4213244745495,40,13
506,6.277611696666666,389.26658820607787,1635.7860538488687,1246.519465642791,40,13
507,6.287663759137483,393.8063095793008,1623.2584873865858,1229.452177807285,40,13
508,6.2977158216083,397.23623214826034,1624.4175868240502,1227.1813546757899,40,13
509,6.307767884079117,404.3915621592604,1684.534612103401,1280.1430499441408,40,13
510,6.317819946549933,376.36217959631904,1633.0903926927474,1256.7282130964284,40,13
511,6.32787200902075,364.3449642622849,1581.4726567659159,1217.127692503631,40,13
512,6.337924071491567,365.03120850106967,1573.0074314088083,1207.9762229077387,40,13
513,6.3479761339623835,312.71876714110067,1517.1098289216236,1204.391061780523,40,13
514,6.3580281964332,275.18878054903985,1476.6879560544342,1201.4991755053943,40,13
515,6.368080258904016,262.2838073589661,1390.958938309697,1128.6751309507308,40,13
516,6.378132321374833,266.62568562819723,1419.8783491016723,1153.252663473475,40,13
517,6.38818438384565,279.9929894044393,1483.7300817237356,1203.7370923192962,40,13
518,6.398236446316467,270.0845319101901,1491.0296908848522,1220.9451589746623,40,13
519,6.408288508787283,266.57838595115356,1486.653645955391,1220.0752600042374,40,13
520,6.4183405712581,261.5505331185204,1488.955290211229,1227.4047570927087,40,13
521,6.428392633728917,262.613268789798,1479.4444576607068,1216.8311888709088,40,13
522,6.438444696199734,258.0809779245464,1467.814777949307,1209.7338000247605,40,13
523,6.44849675867055,322.7821109236597,1546.6538565115452,1223.8717455878855,40,13
524,6.458548821141367,335.7190270409462,1729.9911573447748,1394.2721303038286,40,13
525,6.468600883612184,328.2611584490872,2296.231662086817,1967.9705036377297,40,13
526,6.478652946083001,287.83023646535383,2375.4261615520572,2087.5959250867036,40,13
527,6.488705008553818,283.39715543662027,2431.2092180418013,2147.812062605181,40,13
528,6.498757071024634,272.15543087853376,2514.1488221046775,2241.9933912261436,40,13
529,6.5088091334954505,283.3938927555391,2542.2316105871405,2258.8377178316014,40,13
530,6.5188611959662675,291.89737639364705,2604.5743358540412,2312.6769594603943,40,13
